name	category	quantity	unit	location_path	acquired_date	expiry_date	notes
Whole Milk	Dairy	1	gallon	Kitchen > Fridge > Main Shelf	2025-01-08	2025-01-15	Organic
Cheddar Cheese	Dairy	500	g	Kitchen > Fridge > Cheese Drawer	2025-01-05	2025-02-05	Sharp cheddar
Greek Yogurt	Dairy	4	cups	Kitchen > Fridge > Main Shelf	2025-01-10	2025-01-20	Plain
Eggs	Protein	12	count	Kitchen > Fridge > Door	2025-01-09	2025-02-09	Large, Grade A
Chicken Breast	Protein	1.5	kg	Kitchen > Freezer > Meat Section	2025-01-06	2025-03-06	Raw, frozen
Ground Beef	Protein	1	kg	Kitchen > Freezer > Meat Section	2025-01-07	2025-03-07	80/20 lean
Salmon Fillet	Protein	600	g	Kitchen > Freezer > Meat Section	2025-01-05	2025-02-05	Wild caught
Spinach	Vegetables	300	g	Kitchen > Fridge > Crisper	2025-01-11	2025-01-16	Fresh
Carrots	Vegetables	1	kg	Kitchen > Fridge > Crisper	2025-01-09	2025-01-25	Organic
Tomatoes	Vegetables	6	count	Kitchen > Counter > Fruit Bowl	2025-01-10	2025-01-17	Roma tomatoes
Onions	Vegetables	5	count	Kitchen > Pantry > Lower Shelf	2025-01-05	2025-02-05	Yellow onions
Potatoes	Vegetables	2	kg	Kitchen > Pantry > Lower Shelf	2025-01-03	2025-02-03	Russet
Apples	Fruits	8	count	Kitchen > Counter > Fruit Bowl	2025-01-09	2025-01-23	Gala
Bananas	Fruits	6	count	Kitchen > Counter > Fruit Bowl	2025-01-11	2025-01-14	Ripe
Oranges	Fruits	10	count	Kitchen > Fridge > Crisper	2025-01-08	2025-01-22	Navel
Strawberries	Fruits	500	g	Kitchen > Fridge > Main Shelf	2025-01-11	2025-01-14	Fresh
Bread	Bakery	1	loaf	Kitchen > Pantry > Bread Box	2025-01-10	2025-01-17	Whole wheat
Pasta	Grains	500	g	Kitchen > Pantry > Upper Shelf	2024-06-15	2026-06-15	Penne
Rice	Grains	2	kg	Kitchen > Pantry > Upper Shelf	2024-08-20	2026-08-20	Basmati
Cereal	Grains	1	box	Kitchen > Pantry > Upper Shelf	2024-12-10	2025-06-10	Corn flakes
Olive Oil	Condiments	750	ml	Kitchen > Pantry > Oil Shelf	2024-09-15	2026-09-15	Extra virgin
Soy Sauce	Condiments	500	ml	Kitchen > Pantry > Sauce Shelf	2024-11-20	2026-11-20	Low sodium
Ketchup	Condiments	500	ml	Kitchen > Fridge > Door	2024-12-01	2025-12-01	Heinz
Mustard	Condiments	350	ml	Kitchen > Fridge > Door	2024-11-15	2025-11-15	Dijon
Coffee	Beverages	500	g	Kitchen > Pantry > Upper Shelf	2024-12-20	2025-06-20	Ground, medium roast
Orange Juice	Beverages	1	liter	Kitchen > Fridge > Main Shelf	2025-01-11	2025-01-18	Fresh squeezed
Sparkling Water	Beverages	12	cans	Kitchen > Pantry > Lower Shelf	2024-10-05	2025-10-05	LaCroix
Dish Soap	Cleaning	1	bottle	Kitchen > Under Sink > Left Side	2024-11-30	2026-11-30	Dawn
Sponges	Cleaning	6	count	Kitchen > Under Sink > Left Side	2025-01-05	2027-01-05	Scrub daddy
Trash Bags	Cleaning	30	count	Kitchen > Under Sink > Right Side	2024-12-15	2027-12-15	13 gallon
Paper Towels	Cleaning	6	rolls	Kitchen > Pantry > Lower Shelf	2025-01-08	2027-01-08	Bounty
All-Purpose Cleaner	Cleaning	1	bottle	Bathroom > Under Sink > Cleaning Caddy	2024-10-20	2026-10-20	Lysol
Toilet Paper	Bathroom	12	rolls	Bathroom > Cabinet > Lower Shelf	2025-01-06	2027-01-06	Charmin
Shampoo	Personal Care	500	ml	Bathroom > Shower > Shelf	2024-12-10	2026-12-10	Herbal essences
Toothpaste	Personal Care	150	ml	Bathroom > Cabinet > Upper Shelf	2024-11-25	2025-11-25	Colgate
Hand Soap	Personal Care	300	ml	Bathroom > Sink > Dispenser	2024-12-20	2025-12-20	Method
